From_Station_Id|From_Station|To_Station_Id|To_Station|Tube_Line
23|Baker Street|458|Regents Park|Bakerloo
111|Charing Cross|191|Embankment|Bakerloo
181|Edgware Road|358|Marylebone|Bakerloo
191|Embankment|597|Waterloo|Bakerloo
255|Harlesden|636|Willesden Junction|Bakerloo
260|Harrow and Wealdstone|309|Kenton|Bakerloo
303|Kensal Green|443|Queens Park|Bakerloo
309|Kenton|497|South Kenton|Bakerloo
315|Kilburn Park|350|Maida Vale|Bakerloo
327|Lambeth North|184|Elephant and Castle|Bakerloo
350|Maida Vale|596|Warwick Avenue|Bakerloo
358|Marylebone|23|Baker Street|Bakerloo
398|North Wembley|604|Wembley Central|Bakerloo
416|Oxford Circus|427|Piccadilly Circus|Bakerloo
417|Paddington|181|Edgware Road|Bakerloo
427|Piccadilly Circus|111|Charing Cross|Bakerloo
443|Queens Park|315|Kilburn Park|Bakerloo
458|Regents Park|416|Oxford Circus|Bakerloo
497|South Kenton|398|North Wembley|Bakerloo
525|Stonebridge Park|255|Harlesden|Bakerloo
596|Warwick Avenue|417|Paddington|Bakerloo
597|Waterloo|327|Lambeth North|Bakerloo
604|Wembley Central|525|Stonebridge Park|Bakerloo
636|Willesden Junction|303|Kensal Green|Bakerloo
28|Barking|153|Dagenham Dock|C2C
28|Barking|573|Upminster|C2C
153|Dagenham Dock|438|Purfleet|C2C
153|Dagenham Dock|448|Rainham|C2C
208|Fenchurch Street|341|Limehouse|C2C
208|Fenchurch Street|527|Stratford|C2C
341|Limehouse|614|West Ham|C2C
342|Liverpool Street|527|Stratford|C2C
411|Ockendon|107|Chafford Hundred|C2C
527|Stratford|28|Barking|C2C
573|Upminster|411|Ockendon|C2C
614|West Ham|28|Barking|C2C
25|Bank|517|St. Pauls|Central
29|Barkingside|204|Fairlop|Central
51|Bethnal Green|342|Liverpool Street|Central
62|Bond Street|356|Marble Arch|Central
82|Buckhurst Hill|644|Woodford|Central
110|Chancery Lane|282|Holborn|Central
119|Chigwell|462|Roding Valley|Central
158|Debden|348|Loughton|Central
171|East Acton|392|North Acton|Central
196|Epping|555|Theydon Bois|Central
204|Fairlop|245|Hainault|Central
219|Gants Hill|388|Newbury Park|Central
230|Grange Hill|119|Chigwell|Central
235|Greenford|400|Northolt|Central
245|Hainault|230|Grange Hill|Central
253|Hanger Lane|424|Perivale|Central
282|Holborn|561|Tottenham Court Road|Central
283|Holland Park|479|Shepherds Bush|Central
328|Lancaster Gate|447|Queensway|Central
337|Leyton|527|Stratford|Central
339|Leytonstone|337|Leyton|Central
339|Leytonstone|592|Wanstead|Central
342|Liverpool Street|25|Bank|Central
348|Loughton|82|Buckhurst Hill|Central
356|Marble Arch|328|Lancaster Gate|Central
362|Mile End|51|Bethnal Green|Central
388|Newbury Park|29|Barkingside|Central
392|North Acton|253|Hanger Lane|Central
392|North Acton|607|West Acton|Central
400|Northolt|500|South Ruislip|Central
407|Notting Hill Gate|283|Holland Park|Central
416|Oxford Circus|62|Bond Street|Central
424|Perivale|235|Greenford|Central
447|Queensway|407|Notting Hill Gate|Central
455|Redbridge|219|Gants Hill|Central
469|Ruislip Gardens|621|West Ruislip|Central
479|Shepherds Bush|629|White City|Central
488|Snaresbrook|339|Leytonstone|Central
500|South Ruislip|469|Ruislip Gardens|Central
503|South Woodford|488|Snaresbrook|Central
517|St. Pauls|110|Chancery Lane|Central
527|Stratford|362|Mile End|Central
555|Theydon Bois|158|Debden|Central
561|Tottenham Court Road|416|Oxford Circus|Central
592|Wanstead|455|Redbridge|Central
607|West Acton|167|Ealing Broadway|Central
629|White City|171|East Acton|Central
644|Woodford|503|South Woodford|Central
108|Chalfont and Latimer|13|Amersham|Chiltern Railways
125|Chorleywood|108|Chalfont and Latimer|Chiltern Railways
261|Harrow-on-the-Hill|460|Rickmansworth|Chiltern Railways
358|Marylebone|261|Harrow-on-the-Hill|Chiltern Railways
358|Marylebone|606|Wembley Stadium|Chiltern Railways
401|Northolt Park|500|South Ruislip|Chiltern Railways
417|Paddington|500|South Ruislip|Chiltern Railways
460|Rickmansworth|125|Chorleywood|Chiltern Railways
500|South Ruislip|621|West Ruislip|Chiltern Railways
534|Sudbury and Harrow Road|536|Sudbury Hill Harrow|Chiltern Railways
536|Sudbury Hill Harrow|401|Northolt Park|Chiltern Railways
606|Wembley Stadium|534|Sudbury and Harrow Road|Chiltern Railways
8|Aldgate|565|Tower Hill|Circle
23|Baker Street|233|Great Portland Street|Circle
27|Barbican|370|Moorgate|Circle
36|Bayswater|417|Paddington|Circle
57|Blackfriars|551|Temple|Circle
95|Cannon Street|355|Mansion House|Circle
181|Edgware Road|23|Baker Street|Circle
191|Embankment|628|Westminster|Circle
201|Euston Square|319|Kings Cross St. Pancras|Circle
